banheiros;quartos;andar;area;suites;aluguel;custo;condo_iptu;vagas;nao_mobiliado;animal;arm_coz;arm_quar;box;arm_ban;sol_man;silencio;novo;luz;sol_tar;vista_livre;chuveiro_ele;tomada_nova;gas_enc;porteiro;elevador;salao_fest;piscina;churrasqueira;metro;esp_gourmet;quadra;academia;hipercentro;zona_sul;zona_norte;zona_leste;zona_oeste;apartamento;casa;latitude;longitude
4;4;9;357;2;11000;13281;2134;3;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;-19,9358979;-43,9430873
3;4;3;175;2;10000;13251;3117;4;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;1;0;-19,9371505;-43,9303333
4;3;20;311;3;10000;13209;3075;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;-19,9307598;-43,9249569
6;4;0;320;4;12000;12942;782;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;-19,9583975;-43,9515439
4;4;8;365;2;8800;12877;3959;3;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;0;1;0;0;0;1;0;-19,9414505;-43,9198372
3;4;9;350;2;10000;12842;2708;3;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;-19,9358979;-43,9430873
5;4;10;400;2;8695;12645;3834;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;1;0;-19,9485541;-43,918973
4;3;5;210;3;10000;12636;2502;3;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;-19,940532;-43,923221
2;4;1;136;1;1560;12493;10912;2;1;0;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;-19,9295303;-43,9118719
6;6;0;999;2;10800;12478;1500;6;0;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;-19,961338;-43,918394
4;4;8;280;2;9000;12473;3353;3;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;1;0;0;0;1;0;-19,9413281;-43,9198497
4;3;4;250;3;8075;12416;4233;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;1;0;-19,9739049;-43,937584
4;4;4;347;3;9000;12409;3289;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;-19,9414505;-43,9198372
3;4;14;305;1;9000;12280;3160;3;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;1;1;0;1;0;0;0;1;0;-19,9408563;-43,9357617
5;4;0;373;4;11500;12211;522;7;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;-19,9541824;-43,9551401
1;1;0;61;0;12000;12197;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-19,951221;-43,925351
3;4;9;300;2;8500;12110;3496;3;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;1;0;-19,9334849;-43,9452097
4;5;0;659;2;11000;12094;913;6;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;1;-19,9518473;-43,9194017
5;3;15;228;3;8200;11935;3625;5;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;-19,9620013;-43,9542855
4;4;0;490;4;11000;11784;585;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;-19,9709218;-43,9491362
6;6;0;744;4;11000;11699;500;8;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;1;-19,9488499;-43,9508136
3;6;0;390;1;11000;11598;417;2;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;-19,937149;-43,9455839
4;4;9;190;3;7700;11551;3748;4;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;1;0;-19,9727351;-43,9403072
